Model,FPR,TPR
Logistic Regression,0.08809293320425944,0.47058823529411764
Logistic Regression,0.0909970958373669,0.47058823529411764
Logistic Regression,0.0909970958373669,0.4786096256684492
Logistic Regression,0.09196515004840271,0.4786096256684492
Logistic Regression,0.09196515004840271,0.48128342245989303
Logistic Regression,0.09874152952565343,0.48128342245989303
Logistic Regression,0.09874152952565343,0.4839572192513369
Logistic Regression,0.10261374636979671,0.4839572192513369
Logistic Regression,0.10261374636979671,0.4893048128342246
Logistic Regression,0.10358180058083252,0.4893048128342246
Logistic Regression,0.10358180058083252,0.4919786096256685
Logistic Regression,0.10454985479186835,0.4919786096256685
Logistic Regression,0.10454985479186835,0.49732620320855614
Logistic Regression,0.10551790900290416,0.49732620320855614
Logistic Regression,0.10551790900290416,0.5187165775401069
Logistic Regression,0.10648596321393998,0.5187165775401069
Logistic Regression,0.10648596321393998,0.5267379679144385
Logistic Regression,0.1074540174249758,0.5267379679144385
Logistic Regression,0.1074540174249758,0.5294117647058824
Logistic Regression,0.11035818005808325,0.5294117647058824
Logistic Regression,0.11035818005808325,0.5320855614973262
Logistic Regression,0.1122942884801549,0.5320855614973262
Logistic Regression,0.1122942884801549,0.5427807486631016
Logistic Regression,0.1132623426911907,0.5427807486631016
Logistic Regression,0.1132623426911907,0.5481283422459893
Logistic Regression,0.11519845111326234,0.5481283422459893
Logistic Regression,0.11519845111326234,0.5588235294117647
Logistic Regression,0.11616650532429816,0.5588235294117647
Logistic Regression,0.11616650532429816,0.5641711229946524
Logistic Regression,0.1181026137463698,0.5641711229946524
Logistic Regression,0.1181026137463698,0.5668449197860963
Logistic Regression,0.12100677637947725,0.5668449197860963
Logistic Regression,0.12100677637947725,0.5721925133689839
Logistic Regression,0.12294288480154889,0.5721925133689839
Logistic Regression,0.12294288480154889,0.5775401069518716
Logistic Regression,0.12681510164569215,0.5775401069518716
Logistic Regression,0.12681510164569215,0.5882352941176471
Logistic Regression,0.1287512100677638,0.5882352941176471
Logistic Regression,0.1287512100677638,0.5909090909090909
Logistic Regression,0.12971926427879962,0.5909090909090909
Logistic Regression,0.12971926427879962,0.5962566844919787
Logistic Regression,0.13068731848983542,0.5962566844919787
Logistic Regression,0.13068731848983542,0.5989304812834224
Logistic Regression,0.13165537270087124,0.5989304812834224
Logistic Regression,0.13165537270087124,0.6016042780748663
Logistic Regression,0.1355275895450145,0.6016042780748663
Logistic Regression,0.1355275895450145,0.606951871657754
Logistic Regression,0.13649564375605033,0.606951871657754
Logistic Regression,0.13649564375605033,0.6149732620320856
Logistic Regression,0.13746369796708616,0.6149732620320856
Logistic Regression,0.13746369796708616,0.6176470588235294
Logistic Regression,0.1452081316553727,0.6176470588235294
Logistic Regression,0.1452081316553727,0.6203208556149733
Logistic Regression,0.14811229428848016,0.6203208556149733
Logistic Regression,0.14811229428848016,0.6229946524064172
Logistic Regression,0.14908034849951599,0.6229946524064172
Logistic Regression,0.14908034849951599,0.6256684491978609
Logistic Regression,0.15198451113262343,0.6256684491978609
Logistic Regression,0.15198451113262343,0.6336898395721925
Logistic Regression,0.15295256534365925,0.6336898395721925
Logistic Regression,0.15295256534365925,0.6363636363636364
Logistic Regression,0.15488867376573087,0.6363636363636364
Logistic Regression,0.15488867376573087,0.6390374331550802
Logistic Regression,0.15682478218780252,0.6390374331550802
Logistic Regression,0.15682478218780252,0.6417112299465241
Logistic Regression,0.15876089060987417,0.6417112299465241
Logistic Regression,0.15876089060987417,0.6443850267379679
Logistic Regression,0.16747337850919652,0.6443850267379679
Logistic Regression,0.16747337850919652,0.6524064171122995
Logistic Regression,0.16940948693126814,0.6524064171122995
Logistic Regression,0.16940948693126814,0.6577540106951871
Logistic Regression,0.17231364956437561,0.6577540106951871
Logistic Regression,0.17231364956437561,0.660427807486631
Logistic Regression,0.17424975798644723,0.660427807486631
Logistic Regression,0.17424975798644723,0.6631016042780749
Logistic Regression,0.1771539206195547,0.6631016042780749
Logistic Regression,0.1771539206195547,0.6657754010695187
Logistic Regression,0.1781219748305905,0.6657754010695187
Logistic Regression,0.1781219748305905,0.6711229946524064
Logistic Regression,0.17909002904162633,0.6711229946524064
Logistic Regression,0.17909002904162633,0.6737967914438503
Logistic Regression,0.18005808325266215,0.6737967914438503
